State abbv,State Total,Booster Doses Total
AK,9584.0,144.0
AL,21718.0,154.0
AR,24277.0,157.0
AS,320.0,138.0
AZ,5109.0,142.0
CA,18841.0,150.0
CO,20757.0,151.0
CT,2877.0,140.0
DC,638.0,139.0
DE,1278.0,139.0
FL,21722.0,155.0
FM,319.0,137.0
GA,51102.0,203.0
GU,639.0,139.0
HI,1870.0,140.0
IA,31933.0,169.0
ID,14372.0,148.0
IL,32897.0,174.0
IN,29706.0,163.0
KS,33853.0,174.0
KY,38639.0,183.0
LA,20756.0,150.0
MA,4794.0,141.0
MD,7982.0,144.0
ME,5427.0,142.0
MH,319.0,138.0
MI,26839.0,161.0
MN,28111.0,161.0
MO,37046.0,178.0
MP,319.0,138.0
MS,26506.0,161.0
MT,18204.0,150.0
NC,32260.0,172.0
ND,17245.0,149.0
NE,30024.0,164.0
NH,3516.0,140.0
NJ,7028.0,143.0
NM,10858.0,145.0
NV,5751.0,142.0
NY,20122.0,150.0
OH,28424.0,162.0
OK,24913.0,157.0
OR,11817.0,146.0
PA,21718.0,152.0
PR,25237.0,158.0
PW,320.0,138.0
RI,1916.0,140.0
SC,15009.0,149.0
SD,21404.0,151.0
TN,30659.0,168.0
TX,81409.0,2007.0
UNK,34.0,137.0
UT,9581.0,144.0
VA,42791.0,184.0
VI,1278.0,139.0
VT,4791.0,141.0
WA,12773.0,147.0
WI,23314.0,157.0
WV,17883.0,149.0
WY,7665.0,144.0
